orl_id,entity_key,prospect,market,eligible,hold_reason,category,service_fit,public_portfolio,decision_maker,linkedin,instagram,official_website,official_email,official_fallback,market_message,message_template,research_state,assignment_state,contacted_proof,send_evidence,reply_state,accessed_at,source_urls
ORL-DXB-001,airbnb-host-718708501,Livora Stays,"Dubai, UAE",YES,,Dubai short-term-rental operator / Airbnb host,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://www.airbnb.ae/rooms/1537801866255062230?check_in=2026-11-15&check_out=2026-11-21&guests=1&adults=1,Unknown / unverified,,https://www.instagram.com/livorastays/,,,https://www.instagram.com/livorastays/ (strong public brand/location/platform match; outreach not authorized or sent),"Verified public Airbnb host ID 718708501 under Livora Stays: Superhost, identity verified, 14 host reviews, 5.0, 10 months hosting. Target Silverene listing ID 1537801866255062230 has 5.0/11 listing reviews, 1BR/2 beds/1.5 baths, full Marina/skyline view, no balcony and sealed windows. Exact Nov 15-21 public quote was AED 5,899 for six nights after a displayed early-booking discount; no separate fee lines appeared. Three exact-six-night view comps displayed AED 4,920, 5,132 and 5,940, all with balconies, so underpricing is not supported or quantified. Indexed Instagram @livorastays strongly cross-matches brand, Dubai Marina and Airbnb. No website/email/phone/named decision-maker verified. No PriceLabs evidence found.",,research_candidate / unsent,DONE_REPORTED_UNVERIFIED,NO,"Slack 1789048856.927689; Lin wrote Done, but no exact SENT proof/screenshot/link",NONE VERIFIED,2026-09-10,https://www.airbnb.ae/rooms/1537801866255062230?check_in=2026-11-15&check_out=2026-11-21&guests=1&adults=1 | https://www.airbnb.ae/users/show/718708501 | https://www.instagram.com/livorastays/ | https://livorastaysviews.besthotelsdubai.net/it/ | https://www.bedroomvillas.com/property/livora-stays-dubai-marina-with-balcony-water-views/BC-15457761
ORL-DXB-002,airvistas.ae,Airvistas Holiday Homes,"Dubai, UAE",YES,,Dubai small short-term-rental operator,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://www.airbnb.com/rooms/1426285084186445424,Unknown / unverified,,https://www.instagram.com/airvistas_official/,https://airvistas.ae/,,https://www.instagram.com/airvistas_official/ (directly linked from the official company website; manually re-open before any approved send because automated profile extraction was blocked),"The official Airvistas website identifies a Dubai short/mid/long-let operator, links directly to Instagram @airvistas_official and publishes Airbnb inventory. An indexed Instagram post identifies @airvistas_official as Airvistas Holiday Homes in Dubai. The live Airbnb page for the Wasl One 1BR identifies Airvistas as host and shows Guest Favorite, 5.0 from 7 reviews; the host profile shows Superhost, 35 reviews, 4.86 and two years hosting. The site says Airvistas handles pricing but no public source reviewed confirmed PriceLabs use.","Hi Airvistas team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem, and after seeing your Guest Favorite Wasl One one-bedroom listing by Zabeel Park with a 5.0 Airbnb rating, we’d be glad to run a free one-listing check on its weekday/weekend pricing, booking windows and minimum stays and share a few practical observations if useful: https://www.oasisrevenuelab.com.",research_candidate / unsent,ASSIGNED,NO,Slack 1789127853.342659; no proof-backed send/reply at last verified readback,NONE VERIFIED,2026-09-11,https://airvistas.ae/ | https://www.instagram.com/airvistas_official/ | https://www.instagram.com/p/C7SNC6qyMxy/ | https://www.airbnb.com/rooms/1426285084186445424
ORL-DXB-003,aramivhr.com,Arami Vacation Homes / Arami VHR,"Dubai, UAE; official pages name Downtown Dubai, Dubai Marina and Palm Jumeirah among covered/popular locations",YES,,Dubai holiday-home operator,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://www.aramivhr.com/property-revenue-sharing-dubai,Unknown / unverified,,,https://www.aramivhr.com/,,Public business WhatsApp valuation/team route — https://wa.me/971542025537 (linked from official Arami revenue-sharing page; no message sent),"The official Arami VHR website identifies a Dubai holiday-home and property-management operator offering holiday-home, apartment, Airbnb, short-term and mid-term management, dynamic pricing/revenue optimisation and owner reporting. Its public home page displays 60+ properties and 1,700+ reviews with a 4.78 rating; a separate FAQ on the same site says over 80 properties, so inventory claims conflict and neither count is independently verified. The dedicated revenue-sharing page explicitly says Arami offers performance-based revenue sharing with no fixed management fees, publishes an owner portal/payout model and names Downtown Dubai, Dubai Marina and Palm Jumeirah as popular locations. The site also exposes public WhatsApp valuation and team routes. This confirms an established operator and a possible complementary/overflow ORL research fit, not an unmet need, interest, permission or commercial qualification.","Hi Arami team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your site already describes dynamic pricing, revenue optimisation and owner reporting, so this is not a basic pricing-tool pitch. If useful, we’d be glad to provide a free second-opinion on one Dubai listing — booking pace, rate structure, minimum stays and event positioning — as a possible complementary or overflow review, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-12,https://www.aramivhr.com/ | https://www.aramivhr.com/property-revenue-sharing-dubai
ORL-DXB-005,blvdholidayhomes.com,BLVD Holiday Homes,"Dubai, UAE; site names Dubai Marina, Downtown Dubai, Palm Jumeirah, JBR, Business Bay and Dubai Hills",YES,,operator_research_candidate,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://blvdholidayhomes.com/,Unknown / unverified,,,https://blvdholidayhomes.com/,,https://blvdholidayhomes.com/contact,"The official JBR page claims 40+ JBR properties and a portfolio across Sadaf, Shams, Bahar, Murjan and Amwaj; the main site describes multi-area holiday-home management.","Hi BLVD Holiday Homes team,

I saw that your site positions BLVD across several Dubai areas and describes a 40+ property JBR portfolio spanning the main clusters. Since you already speak publicly about pricing and occupancy, I am not reaching out with a basic pricing-tool pitch.

I run Oasis Revenue Lab through Lux Oasis Advisory & Services LLC. We provide human-supervised revenue-management review: pace, gap nights, minimum stays, rate structure, OTA positioning and owner-ready decision notes.

If useful, I can prepare a complimentary second-opinion on one public JBR listing or a small comparable set. Nothing would be changed automatically and no uplift is guaranteed; the point is to test whether an external layer adds useful perspective or overflow capacity.

Would a single JBR cluster be relevant for a trial review?

Best,
Damiano Pesciaioli
Lux Oasis Advisory & Services LLC",research_candidate / unsent,ASSIGNED,NO,Slack 1789202852.818809; no proof-backed send/reply at last verified readback,NONE VERIFIED,2026-09-09,https://blvdholidayhomes.com/ | https://blvdholidayhomes.com/jbr/ | https://blvdholidayhomes.com/contact
ORL-DXB-006,danielsholidayhomes.com,Daniels Holiday Homes,"Dubai, UAE; official site publishes inventory across Dubai Marina, Palm Jumeirah, Business Bay, Downtown Dubai, Jumeirah Village Circle, Dubai Creek Harbour, Damac Hills and Jumeirah Beach Residence",YES,,Dubai boutique short-term-rental operator,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://www.danielsholidayhomes.com/properties?city=Dubai%20Marina,Unknown / unverified,https://www.linkedin.com/company/daniels-holiday-homes/,https://www.instagram.com/danielsholidayhomes,https://www.danielsholidayhomes.com/,info@danielsholidayhomes.com,https://www.danielsholidayhomes.com/ (official public site; it also publishes info@danielsholidayhomes.com and links to the operator's Instagram and LinkedIn profiles; no contact was sent),"Direct public fetch of the official website returned HTTP 200. The site says Daniels works with a small number of homeowners and provides full-service management through an in-house team from guest bookings to upkeep. The same site publicly lists Dubai Marina (12), Palm Jumeirah (11), Business Bay (6), Downtown Dubai (5), Jumeirah Village Circle (5), Dubai Creek Harbour (3), Damac Hills (2) and Jumeirah Beach Residence (2) under Popular Destinations; these are published site counts, not independently verified active units. The site identifies managed apartments and villas, including a Dubai Marina listing route, and links to Instagram @danielsholidayhomes and LinkedIn Daniels Holiday Homes.","Hi Daniels team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your site says Daniels works with a small number of homeowners and manages Dubai apartments and villas through an in-house team, including published inventory across Dubai Marina and Palm Jumeirah. If useful, we’d be glad to run a free one-listing review of booking windows, minimum stays and rate structure and share a few practical observations: https://www.oasisrevenuelab.com. Would that be useful for one current listing?",research_candidate / unsent,ASSIGNED,NO,Slack 1789202852.818809; no proof-backed send/reply at last verified readback,NONE VERIFIED,2026-09-11,https://www.danielsholidayhomes.com/ | https://www.danielsholidayhomes.com/properties?city=Dubai%20Marina | https://www.instagram.com/danielsholidayhomes | https://www.linkedin.com/company/daniels-holiday-homes/
ORL-DXB-007,golden.casa,Golden Casa Vacation Homes Rental Establishment,"Dubai, UAE",YES,,Dubai boutique short-term-rental operator,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://www.airbnb.com/rooms/1226684213600467299,Unknown / unverified,,https://www.instagram.com/goldencasa.ae/,https://www.golden.casa/,,https://www.instagram.com/goldencasa.ae/ (official-site-linked public business profile; outreach not authorized or sent),"The official golden.casa contact page links directly to Instagram @goldencasa.ae and uses a goldencasa.ae business email, while the Instagram bio identifies Golden Casa Vacation Homes, short-term rentals and links back to www.goldencasa.ae. The live Airbnb page for Farhad Azizi Residence in Al Jaddaf identifies Golden Casa as host and shows 4.67 from 24 reviews, including 4.6 value; the host profile shows GOLDEN CASA VHR, 57 reviews, 4.58 and three years hosting. No public source reviewed confirmed PriceLabs use.","Hi Golden Casa team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem, and after reviewing your Farhad Azizi Residence listing in Al Jaddaf with 24 Airbnb reviews and a 4.6 value score, we’d be glad to run a free one-listing check on rate positioning, stay rules and booking-window setup and share a few practical observations if useful: https://www.oasisrevenuelab.com.",research_candidate / unsent,ASSIGNED,NO,Slack 1789127853.342659; no proof-backed send/reply at last verified readback,NONE VERIFIED,2026-09-11,https://www.golden.casa/ | https://www.golden.casa/contact-us | https://goldencasa.ae/ | https://www.instagram.com/goldencasa.ae/ | https://www.airbnb.com/rooms/1226684213600467299
ORL-DXB-008,prestigeretreats.ae,Prestige Retreats Dubai Holiday Homes,"Dubai, UAE",YES,,Dubai boutique short-term-rental operator,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://www.airbnb.com/rooms/1071740900635987619,Unknown / unverified,https://www.linkedin.com/company/prestige-retreats-dubai,,https://prestigeretreats.ae/,,https://www.linkedin.com/company/prestige-retreats-dubai (public company profile cross-linked by the same canonical website identity; outreach not authorized or sent),"The official website identifies a Dubai/Emaar Beachfront operator founded by property investors and names Ericka and Jim as Superhosts. Current public Airbnb search rendering for listing 1071740900635987619 shows an Emaar Beachfront four-bedroom/private-beach listing at 5.0 from 79 reviews. The public LinkedIn company page identifies Prestige Retreats Dubai Holiday Homes, Dubai hospitality, and website prestigeretreats.ae, providing a cross-checked business contact profile. No public source reviewed confirmed PriceLabs use; marketing occupancy/revenue claims were not independently verified.","Hi Prestige Retreats team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem, and after seeing your Emaar Beachfront four-bedroom listing with a 5.0 Airbnb rating from 79 reviews, we’d be glad to run a free one-listing check on its pricing, booking-window and minimum-stay setup and share a few practical observations if useful: https://www.oasisrevenuelab.com.",research_candidate / unsent,ASSIGNED,NO,Slack 1789127853.342659; no proof-backed send/reply at last verified readback,NONE VERIFIED,2026-09-11,https://prestigeretreats.ae/ | https://www.airbnb.com/rooms/1071740900635987619 | https://www.linkedin.com/company/prestige-retreats-dubai
ORL-DXB-009,pureliving.ae,Pure Living — Dubai holiday-home operator,"Dubai, UAE; office listed in Al Rashidiya",YES,,Dubai boutique short-term-rental operator,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://www.pureliving.ae/owners.html,Unknown / unverified,,,https://www.pureliving.ae/owners.html,help@pureliving.ae,https://www.pureliving.ae/owners.html (official owner-management page; public email/phone listed there; no contact made),"Pure Living's official owners page identifies a DTCM-licensed Dubai holiday-home operator and describes management of suitable furnished homes. The page lists onboarding, furnishing, marketing, professional photography, pricing optimisation, bookings, guest care, housekeeping, maintenance, owner-use coordination and reporting. It publishes a public business route with help@pureliving.ae and +971 52 150 1929, and names Al Rashidiya, Dubai as its office location. This verifies an established operator route and a possible complementary/overflow ORL research fit, not an unmet need, interest, decision-maker identity, performance gap or commercial qualification.","Hi Pure Living team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your owners page already describes pricing optimisation, reporting and end-to-end holiday-home operations, so this is not a basic pricing-tool pitch. If useful, we’d be glad to provide a free second-opinion on one Dubai listing — booking pace, rate structure, minimum stays and event positioning — as a possible complementary or overflow review, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-13,https://www.pureliving.ae/owners.html | https://www.pureliving.ae/
ORL-DXB-010,whiterockdxb.com,White Rock Holiday Homes LLC,"Dubai, UAE; public inventory includes Palm Jumeirah and JLT",YES,,operator_research_candidate,Plausible free one-listing or complementary revenue-management review; capability and appetite remain unverified.,https://www.whiterockdxb.com/,Unknown / unverified,,,https://www.whiterockdxb.com/,,https://www.whiterockdxb.com/contact-us,"Direct public fetch returned HTTP 200. The official site displays Explore all properties (18), including visible Palm Jumeirah and JLT inventory; the site identifies White Rock Holiday Homes LLC and publishes a public contact route. The advertised count is not an independently confirmed active portfolio, and no performance gap or unmet revenue-management need is established.","Hi White Rock team,

Your public portfolio shows a Dubai holiday-home portfolio across Palm Jumeirah, DIFC, JBR, JLT and Sports City. With that spread, each cluster needs a different booking-window and price approach.

I run Oasis Revenue Lab through Lux Oasis Advisory & Services LLC. We provide Damiano-led revenue-management reviews supported by pricing, calendar, OTA and listing analysis. Nothing is changed automatically.

If useful, I can prepare a complimentary review of one public White Rock listing, focused on rate structure, open-night gaps, minimum stays and positioning. It would be a diagnostic only, with no guaranteed uplift; any ongoing scope would depend on your current tools and priorities.

Would one Palm or JLT listing be useful as a test?

Best,
Damiano Pesciaioli
Lux Oasis Advisory & Services LLC",research_candidate / unsent,ASSIGNED,NO,Slack 1789202852.818809; no proof-backed send/reply at last verified readback,NONE VERIFIED,2026-09-09,https://www.whiterockdxb.com/ | https://www.whiterockdxb.com/contact-us
ORL-DXB-011,air-dxb.com,AirDXB,"Dubai, UAE",YES,,Dubai short-let property-management operator,Established Dubai short-let operator with public managed-property examples; a complementary/overflow one-listing review is plausible without presuming deficient internal revenue capability.,https://www.air-dxb.com/,Unknown / unverified,https://linkedin.com/company/airdxb,,https://www.air-dxb.com/,,https://www.air-dxb.com/contact (official public contact route; LinkedIn also publishes +971 58 533 6770; no contact made),"AirDXB's official site says it was founded in Dubai's short-let market and shows short-let property examples in JLT, Dubai Marina and Palm Views.","Hi AirDXB team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. AirDXB’s site shows a Dubai short-let heritage and property examples across areas including JLT, Dubai Marina and Palm Views. If useful, we’d be glad to provide a free complementary second-opinion on one listing covering rate structure, booking windows and minimum stays, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://www.air-dxb.com/ | https://www.air-dxb.com/contact | https://linkedin.com/company/airdxb
